------------------------
 θ (radians)   | I(θ)
      0.828638 | 0.051863
      0.831783 | 0.054343
      0.834928 | 0.056368
      0.838073 | 0.057910
      0.841217 | 0.058950
      0.844362 | 0.059478
      0.847507 | 0.059492
      0.850651 | 0.059001
      0.853796 | 0.058021
      0.856941 | 0.056576
      0.860086 | 0.054698
      0.863230 | 0.052425
      0.866375 | 0.049799
      0.869520 | 0.046869
      0.872665 | 0.043687
      0.875809 | 0.040306
      0.878954 | 0.036782
      0.882099 | 0.033172
      0.885244 | 0.029532
      0.888388 | 0.025918
      0.891533 | 0.022382
      0.894678 | 0.018975
      0.897823 | 0.015744
      0.900967 | 0.012732
      0.904112 | 0.009977
      0.907257 | 0.007514
      0.910401 | 0.005369
      0.913546 | 0.003566
      0.916691 | 0.002122
      0.919836 | 0.001048
      0.922980 | 0.000349
      0.926125 | 0.000025
      0.929270 | 0.000072
      0.932415 | 0.000478
      0.935559 | 0.001229
      0.938704 | 0.002304
      0.941849 | 0.003682
      0.944994 | 0.005334
      0.948138 | 0.007231
      0.951283 | 0.009342
      0.954428 | 0.011632
      0.957573 | 0.014066
      0.960717 | 0.016608
      0.963862 | 0.019222
      0.967007 | 0.021871
      0.970151 | 0.024520
      0.973296 | 0.027135
      0.976441 | 0.029682
      0.979586 | 0.032132
      0.982730 | 0.034454
      0.985875 | 0.036623
      0.989020 | 0.038614
      0.992165 | 0.040409
      0.995309 | 0.041987
      0.998454 | 0.043336
      1.001599 | 0.044443
      1.004744 | 0.045301
      1.007888 | 0.045904
      1.011033 | 0.046250
      1.014178 | 0.046341
      1.017323 | 0.046179
      1.020467 | 0.045772
      1.023612 | 0.045129
      1.026757 | 0.044260
      1.029901 | 0.043180
      1.033046 | 0.041903
      1.036191 | 0.040447
      1.039336 | 0.038829
      1.042480 | 0.037068
      1.045625 | 0.035185
      1.048770 | 0.033201
      1.051915 | 0.031136
      1.055059 | 0.029011
      1.058204 | 0.026847
      1.061349 | 0.024665
      1.064494 | 0.022485
      1.067638 | 0.020327
      1.070783 | 0.018209
      1.073928 | 0.016149
      1.077073 | 0.014162
      1.080217 | 0.012265
      1.083362 | 0.010471
      1.086507 | 0.008792
      1.089652 | 0.007240
      1.092796 | 0.005823
      1.095941 | 0.004551
      1.099086 | 0.003429
      1.102230 | 0.002462
      1.105375 | 0.001653
      1.108520 | 0.001005
      1.111665 | 0.000519
      1.114809 | 0.000193
      1.117954 | 0.000026
      1.121099 | 0.000014
      1.124244 | 0.000153
      1.127388 | 0.000437
      1.130533 | 0.000862
      1.133678 | 0.001419
      1.136823 | 0.002100
      1.139967 | 0.002898
      1.143112 | 0.003803
      1.146257 | 0.004806
      1.149402 | 0.005898
      1.152546 | 0.007067
      1.155691 | 0.008305
      1.158836 | 0.009601
      1.161980 | 0.010944
      1.165125 | 0.012325
      1.168270 | 0.013734
      1.171415 | 0.015160
      1.174559 | 0.016595
      1.177704 | 0.018030
      1.180849 | 0.019455
      1.183994 | 0.020862
      1.187138 | 0.022244
      1.190283 | 0.023593
      1.193428 | 0.024902
      1.196573 | 0.026165
      1.199717 | 0.027376
      1.202862 | 0.028530
      1.206007 | 0.029622
      1.209152 | 0.030648
      1.212296 | 0.031605
      1.215441 | 0.032489
      1.218586 | 0.033299
      1.221730 | 0.034032
      1.224875 | 0.034687
      1.228020 | 0.035262
      1.231165 | 0.035758
      1.234309 | 0.036175
      1.237454 | 0.036512
      1.240599 | 0.036771
      1.243744 | 0.036952
      1.246888 | 0.037058
      1.250033 | 0.037090
      1.253178 | 0.037050
      1.256323 | 0.036940
      1.259467 | 0.036763
      1.262612 | 0.036522
      1.265757 | 0.036220
      1.268902 | 0.035859
      1.272046 | 0.035444
      1.275191 | 0.034976
      1.278336 | 0.034460
      1.281480 | 0.033899
      1.284625 | 0.033297
      1.287770 | 0.032656
      1.290915 | 0.031981
      1.294059 | 0.031274
      1.297204 | 0.030539
      1.300349 | 0.029780
      1.303494 | 0.028999
      1.306638 | 0.028199
      1.309783 | 0.027385
      1.312928 | 0.026558
      1.316073 | 0.025722
      1.319217 | 0.024879
      1.322362 | 0.024033
      1.325507 | 0.023184
      1.328652 | 0.022337
      1.331796 | 0.021492
      1.334941 | 0.020653
      1.338086 | 0.019821
      1.341230 | 0.018997
      1.344375 | 0.018185
      1.347520 | 0.017384
      1.350665 | 0.016597
      1.353809 | 0.015825
      1.356954 | 0.015069
      1.360099 | 0.014331
      1.363244 | 0.013610
      1.366388 | 0.012908
      1.369533 | 0.012226
      1.372678 | 0.011564
      1.375823 | 0.010922
      1.378967 | 0.010302
      1.382112 | 0.009703
      1.385257 | 0.009125
      1.388402 | 0.008569
      1.391546 | 0.008035
      1.394691 | 0.007523
      1.397836 | 0.007032
      1.400981 | 0.006563
      1.404125 | 0.006115
      1.407270 | 0.005688
      1.410415 | 0.005282
      1.413559 | 0.004896
      1.416704 | 0.004530
      1.419849 | 0.004183
      1.422994 | 0.003855
      1.426138 | 0.003546
      1.429283 | 0.003255
      1.432428 | 0.002982
      1.435573 | 0.002725
      1.438717 | 0.002485
      1.441862 | 0.002260
      1.445007 | 0.002050
      1.448152 | 0.001855
      1.451296 | 0.001674
      1.454441 | 0.001507
      1.457586 | 0.001351
      1.460731 | 0.001208
      1.463875 | 0.001077
      1.467020 | 0.000956
      1.470165 | 0.000846
      1.473309 | 0.000746
      1.476454 | 0.000654
      1.479599 | 0.000571
      1.482744 | 0.000497
      1.485888 | 0.000430
      1.489033 | 0.000369
      1.492178 | 0.000316
      1.495323 | 0.000268
      1.498467 | 0.000226
      1.501612 | 0.000189
      1.504757 | 0.000157
      1.507902 | 0.000129
      1.511046 | 0.000105
      1.514191 | 0.000085
      1.517336 | 0.000068
      1.520481 | 0.000053
      1.523625 | 0.000041
      1.526770 | 0.000031
      1.529915 | 0.000023
      1.533059 | 0.000017
      1.536204 | 0.000012
      1.539349 | 0.000008
      1.542494 | 0.000005
      1.545638 | 0.000003
      1.548783 | 0.000002
      1.551928 | 0.000001
      1.555073 | 0.000001
      1.558217 | 0.000000
      1.561362 | 0.000000
      1.564507 | 0.000000
      1.567652 | 0.000000
      1.570796 | 0.000000
